domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,0,0,225,100,0.6,0.19424632188367308
movie,0.25,0,1,225,100,0.54,0.27482168969530574
movie,0.25,0,2,225,100,0.57,0.23453400578948946
movie,0.5,0,0,450,100,0.545,0.268107075711003
movie,0.5,0,1,450,100,0.555,0.25467784774239755
movie,0.5,0,2,450,100,0.515,0.3083947596168194
movie,0.75,0,0,675,100,0.555,0.25467784774239755
movie,0.75,0,1,675,100,0.59,0.20767554985227854
movie,0.75,0,2,675,100,0.53,0.2882509176639112
movie,1.0,0,0,900,100,0.51,0.3151093736011221
movie,0.25,1,0,225,100,0.52,0.2868680096303292
movie,0.25,1,1,225,100,0.47,0.3554383933197207
movie,0.25,1,2,225,100,0.5,0.3142961631060859
movie,0.5,1,0,450,100,0.47,0.3554383933197207
movie,0.5,1,1,450,100,0.515,0.29372504799926835
movie,0.5,1,2,450,100,0.46,0.3691524700575989
movie,0.75,1,0,675,100,0.51,0.3005820863682075
movie,0.75,1,1,675,100,0.495,0.321153201475025
movie,0.75,1,2,675,100,0.5,0.3142961631060859
movie,1.0,1,0,900,100,0.48,0.34172431658184244
movie,0.25,2,0,225,100,0.56,0.35733958992145254
movie,0.25,2,1,225,100,0.565,0.35160155054575126
movie,0.25,2,2,225,100,0.555,0.3630776292971538
movie,0.5,2,0,450,100,0.565,0.35160155054575126
movie,0.5,2,1,450,100,0.56,0.35733958992145254
movie,0.5,2,2,450,100,0.53,0.3917678261756604
movie,0.75,2,0,675,100,0.56,0.35733958992145254
movie,0.75,2,1,675,100,0.52,0.4032439049270631
movie,0.75,2,2,675,100,0.515,0.40898194430276436
movie,1.0,2,0,900,100,0.53,0.3917678261756604
movie,0.25,3,0,225,100,0.51,0.34643314822725324
movie,0.25,3,1,225,100,0.565,0.27595044852627093
movie,0.25,3,2,225,100,0.57,0.2695429303716361
movie,0.5,3,0,450,100,0.515,0.34002563007261855
movie,0.5,3,1,450,100,0.535,0.31439555745407943
movie,0.5,3,2,450,100,0.54,0.3079880392994446
movie,0.75,3,0,675,100,0.51,0.34643314822725324
movie,0.75,3,1,675,100,0.545,0.3015805211448098
movie,0.75,3,2,675,100,0.52,0.33361811191798374
movie,1.0,3,0,900,100,0.51,0.34643314822725324
movie,0.25,4,0,225,100,0.525,0.3352934556299588
movie,0.25,4,1,225,100,0.55,0.30364076304090926
movie,0.25,4,2,225,100,0.555,0.2973102245230993
movie,0.5,4,0,450,100,0.49,0.3796072252546283
movie,0.5,4,1,450,100,0.51,0.3542850711833886
movie,0.5,4,2,450,100,0.555,0.2973102245230993
movie,0.75,4,0,675,100,0.525,0.3352934556299588
movie,0.75,4,1,675,100,0.51,0.3542850711833886
movie,0.75,4,2,675,100,0.52,0.3416239941477688
movie,1.0,4,0,900,100,0.515,0.34795453266557874
movie,0.25,5,0,225,100,0.56,0.2796604113367729
movie,0.25,5,1,225,100,0.52,0.33111323909843204
movie,0.25,5,2,225,100,0.52,0.33111323909843204
movie,0.5,5,0,450,100,0.51,0.3439764460388468
