domain,fraction,n_train,skill_mean,skill_std,mae_mean
book,0.25,20,0.16018714967333028,0.14248047500431615,0.5649537037037037
book,0.5,40,0.23645273950295356,0.14727423773317525,0.5188425925925926
book,0.75,59,0.2908743785734159,0.1483784202162505,0.4833796296296296
book,1.0,79,0.3235773860200183,0.16563331816793722,0.4658333333333334
game,0.25,15,0.07007444054418116,0.1741771263512081,0.7294642857142858
game,0.5,30,0.17912455251408846,0.16523170641549983,0.6488928571428572
game,0.75,44,0.2190241468030202,0.16794194375787228,0.6194206349206349
game,1.0,59,0.2846812557251628,0.16277758023661656,0.5695833333333333
movie,0.25,225,0.31844033552098827,0.055818690339723365,0.5216999999999999
movie,0.5,450,0.335619999252963,0.05646598939274495,0.5083333333333333
movie,0.75,675,0.3393379340227448,0.053279267476826264,0.5055666666666667
movie,1.0,900,0.34075795957393823,0.05588049144672426,0.5043
tv,0.25,36,0.02056857327019954,0.14440831430132992,0.8382720588235294
tv,0.5,73,0.04161949688629748,0.12774092740253856,0.8188848039215686
tv,0.75,110,0.07672947658148276,0.13307994034531012,0.7893137254901961
tv,1.0,146,0.0927248221359144,0.11305717431744824,0.7753308823529411
