domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,0,0,220,98,0.45918367346938777,0.4152313880335331
movie,0.25,0,1,220,98,0.5051020408163265,0.3567545268368866
movie,0.25,0,2,220,98,0.5102040816326531,0.3502570978150369
movie,0.5,0,0,441,98,0.49489795918367346,0.36974938488058573
movie,0.5,0,1,441,98,0.49489795918367346,0.36974938488058573
movie,0.5,0,2,441,98,0.5051020408163265,0.3567545268368866
movie,0.75,0,0,662,98,0.4744897959183674,0.39573910096798426
movie,0.75,0,1,662,98,0.4744897959183674,0.39573910096798426
movie,0.75,0,2,662,98,0.4642857142857143,0.4087339590116835
movie,1.0,0,0,882,98,0.46938775510204084,0.40223652998983384
movie,0.25,1,0,220,100,0.555,0.17727915908631464
movie,0.25,1,1,220,100,0.505,0.2513981537632233
movie,0.25,1,2,220,100,0.525,0.22175055589245984
movie,0.5,1,0,440,100,0.565,0.1624553601509331
movie,0.5,1,1,440,100,0.545,0.1921029580216964
movie,0.5,1,2,440,100,0.535,0.20692675695707807
movie,0.75,1,0,660,100,0.52,0.22916245536015067
movie,0.75,1,1,660,100,0.495,0.26622195269860505
movie,0.75,1,2,660,100,0.485,0.2810457516339867
movie,1.0,1,0,880,100,0.48,0.28845765110167765
movie,0.25,2,0,220,100,0.52,0.35806071488693114
movie,0.25,2,1,220,100,0.485,0.4012681667695416
movie,0.25,2,2,220,100,0.475,0.413613153021716
movie,0.5,2,0,440,100,0.495,0.3889231805173672
movie,0.5,2,1,440,100,0.495,0.3889231805173672
movie,0.5,2,2,440,100,0.46,0.4321306323999775
movie,0.75,2,0,660,100,0.46,0.4321306323999775
movie,0.75,2,1,660,100,0.485,0.4012681667695416
movie,0.75,2,2,660,100,0.495,0.3889231805173672
movie,1.0,2,0,880,100,0.465,0.42595813927389026
movie,0.25,3,0,221,96,0.5520833333333334,0.29486484859430495
movie,0.25,3,1,221,96,0.5677083333333334,0.2749081933658418
movie,0.25,3,2,221,96,0.5520833333333334,0.29486484859430495
movie,0.5,3,0,442,96,0.53125,0.3214737222322557
movie,0.5,3,1,442,96,0.5260416666666666,0.3281259406417435
movie,0.5,3,2,442,96,0.5572916666666666,0.28821263018481735
