domain,fraction,n_train,skill_mean,skill_std,mae_mean
book,0.25,14,0.021182023310699773,0.31715588128555233,0.6114027176527176
book,0.5,28,0.10275761630455109,0.286696270452898,0.5622647907647909
book,0.75,43,0.12123826924599099,0.287312721350801,0.5498174603174604
book,1.0,57,0.12467652825900025,0.279321403613583,0.5511504329004329
game,0.25,14,-0.059451974818638245,0.3103483976388482,1.2979695767195767
game,0.5,28,-0.007178776504039147,0.27171712113736174,1.2562204184704184
game,0.75,42,0.033418600923534186,0.27931238724249696,1.2050964405964406
game,1.0,56,0.0013865717159807134,0.2590889525834859,1.2311190476190477
movie,0.25,221,0.29950856300471157,0.04968396277960098,0.5357322926067681
movie,0.5,441,0.31955095713598486,0.05251026803557919,0.5203473472050099
movie,0.75,661,0.3342526925885218,0.04801535658548524,0.5093401474632472
movie,1.0,882,0.34773658267092555,0.04805670731891739,0.49920013066298774
tv,0.25,36,0.08011152537065852,0.14548664652808638,0.8177853846216849
tv,0.5,72,0.13204822244356662,0.12541926148100024,0.7741011147148917
tv,0.75,107,0.15523747171845845,0.12365969838117354,0.7524636898619097
tv,1.0,143,0.15536245520699812,0.13982790705922088,0.7529977087326158
