target,source,music,protocol,fraction,fold,repeat,N,MAE,skill,spearman
movie,(target-only),False,A,1.0,0,0,98,0.46938775510204084,0.40223652998983384,0.6551054168725822
movie,tv,False,B,0.0,0,0,98,0.7448979591836735,0.051375362809953695,0.39890580671072157
movie,tv,False,C,0.0,0,0,98,0.7448979591836735,0.051375362809953695,0.39890580671072157
movie,tv,False,C,0.25,0,0,98,0.5204081632653061,0.3372622397713375,0.6313132355249644
movie,tv,False,C,0.5,0,0,98,0.5102040816326531,0.3502570978150369,0.6437780803442924
movie,tv,False,C,1.0,0,0,98,0.49489795918367346,0.36974938488058573,0.6481927668829335
movie,game,False,B,0.0,0,0,98,1.0408163265306123,-0.325475520457325,-0.24777615884116394
movie,game,False,C,0.0,0,0,98,1.0408163265306123,-0.325475520457325,-0.24777615884116394
movie,game,False,C,0.25,0,0,98,0.5306122448979592,0.32426738172763825,0.6303184951437133
movie,game,False,C,0.5,0,0,98,0.4897959183673469,0.3762468139024354,0.6333248083261088
movie,game,False,C,1.0,0,0,98,0.4846938775510204,0.382744242924285,0.6280989249327794
movie,book,False,B,0.0,0,0,98,0.8163265306122449,-0.039588643495941156,-0.019608769073767778
movie,book,False,C,0.0,0,0,98,0.8163265306122449,-0.039588643495941156,-0.019608769073767778
movie,book,False,C,0.25,0,0,98,0.5,0.36325195585873615,0.6673853755477094
movie,book,False,C,0.5,0,0,98,0.5051020408163265,0.3567545268368866,0.6623871176329201
movie,book,False,C,1.0,0,0,98,0.4846938775510204,0.382744242924285,0.6403038646518068
movie,tv+game,False,B,0.0,0,0,98,0.8979591836734694,-0.14354750784553505,0.1616303484790526
movie,tv+game,False,C,0.0,0,0,98,0.8979591836734694,-0.14354750784553505,0.1616303484790526
movie,tv+game,False,C,0.25,0,0,98,0.5,0.36325195585873615,0.6551700152332371
movie,tv+game,False,C,0.5,0,0,98,0.5,0.36325195585873615,0.6219069017167942
movie,tv+game,False,C,1.0,0,0,98,0.4744897959183674,0.39573910096798426,0.6438423639809043
movie,tv+book,False,B,0.0,0,0,98,0.7704081632653061,0.01888821770070559,0.08496814753628368
movie,tv+book,False,C,0.0,0,0,98,0.7704081632653061,0.01888821770070559,0.08496814753628368
movie,tv+book,False,C,0.25,0,0,98,0.5357142857142857,0.31776995270578867,0.6225579974309052
movie,tv+book,False,C,0.5,0,0,98,0.5153061224489796,0.3437596687931873,0.6596377581897522
movie,tv+book,False,C,1.0,0,0,98,0.46938775510204084,0.40223652998983384,0.677380600924937
movie,game+book,False,B,0.0,0,0,98,0.7755102040816326,0.012390788678856013,0.07761855448475298
movie,game+book,False,C,0.0,0,0,98,0.7755102040816326,0.012390788678856013,0.07761855448475298
movie,game+book,False,C,0.25,0,0,98,0.5510204081632653,0.29827766564023983,0.6209133710434954
movie,game+book,False,C,0.5,0,0,98,0.5306122448979592,0.32426738172763825,0.6347127420535635
movie,game+book,False,C,1.0,0,0,98,0.4744897959183674,0.39573910096798426,0.6585537806900839
movie,tv+game+book,False,B,0.0,0,0,98,0.7142857142857143,0.0903599369410516,0.19811921214654565
movie,tv+game+book,False,C,0.0,0,0,98,0.7142857142857143,0.0903599369410516,0.19811921214654565
movie,tv+game+book,False,C,0.25,0,0,98,0.5306122448979592,0.32426738172763825,0.6328928357480919
movie,tv+game+book,False,C,0.5,0,0,98,0.5357142857142857,0.31776995270578867,0.612572220663329
movie,tv+game+book,False,C,1.0,0,0,98,0.46938775510204084,0.40223652998983384,0.6818013003429261
movie,(target-only),False,A,1.0,1,0,100,0.505,0.2513981537632233,0.640916546275201
movie,tv,False,B,0.0,1,0,100,0.605,0.10316016440940612,0.35910070861160315
movie,tv,False,C,0.0,1,0,100,0.605,0.10316016440940612,0.35910070861160315
movie,tv,False,C,0.25,1,0,100,0.515,0.23657435482784162,0.6189045743234851
movie,tv,False,C,0.5,1,0,100,0.54,0.19951485748938724,0.5880305930465315
movie,tv,False,C,1.0,1,0,100,0.5,0.2588100532309141,0.6384055967107644
movie,game,False,B,0.0,1,0,100,0.885,-0.31190620578128203,-0.06552087498879264
movie,game,False,C,0.0,1,0,100,0.885,-0.31190620578128203,-0.06552087498879264
movie,game,False,C,0.25,1,0,100,0.585,0.13280776228016966,0.5475446294964961
movie,game,False,C,0.5,1,0,100,0.555,0.17727915908631464,0.5847038646029208
movie,game,False,C,1.0,1,0,100,0.49,0.2736338521662959,0.6479133340291828
movie,book,False,B,0.0,1,0,100,0.9,-0.3341419041843545,0.008042086455055684
movie,book,False,C,0.0,1,0,100,0.9,-0.3341419041843545,0.008042086455055684
movie,book,False,C,0.25,1,0,100,0.545,0.1921029580216964,0.6081054288047786
movie,book,False,C,0.5,1,0,100,0.53,0.21433865642476901,0.624066988488545
movie,book,False,C,1.0,1,0,100,0.505,0.2513981537632233,0.6439788366584164
movie,tv+game,False,B,0.0,1,0,100,0.765,-0.13402061855670144,0.2367211475937145
movie,tv+game,False,C,0.0,1,0,100,0.765,-0.13402061855670144,0.2367211475937145
movie,tv+game,False,C,0.25,1,0,100,0.55,0.18469105855400547,0.5713082763363232
movie,tv+game,False,C,0.5,1,0,100,0.54,0.19951485748938724,0.5887819161047178
movie,tv+game,False,C,1.0,1,0,100,0.515,0.23657435482784162,0.6344111559732879
movie,tv+book,False,B,0.0,1,0,100,0.64,0.051276868135570086,0.2425436929952958
movie,tv+book,False,C,0.0,1,0,100,0.64,0.051276868135570086,0.2425436929952958
movie,tv+book,False,C,0.25,1,0,100,0.595,0.11798396334478789,0.49426427909436355
movie,tv+book,False,C,0.5,1,0,100,0.59,0.12539586281247872,0.5339792458693101
movie,tv+book,False,C,1.0,1,0,100,0.485,0.2810457516339867,0.6635674729221122
movie,game+book,False,B,0.0,1,0,100,0.665,0.014217370797115825,0.22134024942188377
movie,game+book,False,C,0.0,1,0,100,0.665,0.014217370797115825,0.22134024942188377
movie,game+book,False,C,0.25,1,0,100,0.555,0.17727915908631464,0.6080580353876948
movie,game+book,False,C,0.5,1,0,100,0.535,0.20692675695707807,0.6169947603513461
movie,game+book,False,C,1.0,1,0,100,0.5,0.2588100532309141,0.6321607362706759
movie,tv+game+book,False,B,0.0,1,0,100,0.625,0.07351256653864269,0.24602622375664637
movie,tv+game+book,False,C,0.0,1,0,100,0.625,0.07351256653864269,0.24602622375664637
movie,tv+game+book,False,C,0.25,1,0,100,0.58,0.1402196617478605,0.5144118580339793
movie,tv+game+book,False,C,0.5,1,0,100,0.55,0.18469105855400547,0.5383226947035739
movie,tv+game+book,False,C,1.0,1,0,100,0.495,0.26622195269860505,0.6531854278407916
movie,(target-only),False,A,1.0,2,0,100,0.46,0.4321306323999775,0.7466225083223477
movie,tv,False,B,0.0,2,0,100,0.69,0.14819594859996632,0.40244355615260363
movie,tv,False,C,0.0,2,0,100,0.69,0.14819594859996632,0.40244355615260363
movie,tv,False,C,0.25,2,0,100,0.51,0.37040570113910554,0.6768715365060459
movie,tv,False,C,0.5,2,0,100,0.45,0.4444756186521519,0.769826609484852
movie,tv,False,C,1.0,2,0,100,0.475,0.413613153021716,0.7756479849884855
movie,game,False,B,0.0,2,0,100,1.02,-0.2591885977217889,-0.17544288334210717
movie,game,False,C,0.0,2,0,100,1.02,-0.2591885977217889,-0.17544288334210717
movie,game,False,C,0.25,2,0,100,0.545,0.3271982492564951,0.6870509634353643
movie,game,False,C,0.5,2,0,100,0.495,0.3889231805173672,0.7149940766798917
movie,game,False,C,1.0,2,0,100,0.43,0.4691655911565007,0.7956515317412458
movie,book,False,B,0.0,2,0,100,0.975,-0.2036361595870042,0.02032528334453959
movie,book,False,C,0.0,2,0,100,0.975,-0.2036361595870042,0.02032528334453959
movie,book,False,C,0.25,2,0,100,0.61,0.24695583861736148,0.5897367831303303
movie,book,False,C,0.5,2,0,100,0.525,0.3518882217608439,0.6819992713915622
movie,book,False,C,1.0,2,0,100,0.48,0.4074406598956287,0.7429657363826724
